threshold,accuracy,recall,precision,roc_auc_score,f1_score
0.0,0.3181818181818182,1.0,0.3181818181818182,0.5,0.4827586206896552
0.01,0.3181818181818182,1.0,0.3181818181818182,0.5,0.4827586206896552
0.02,0.3181818181818182,1.0,0.3181818181818182,0.5,0.4827586206896552
0.03,0.3181818181818182,1.0,0.3181818181818182,0.5,0.4827586206896552
0.04,0.3181818181818182,1.0,0.3181818181818182,0.5,0.4827586206896552
0.05,0.3181818181818182,1.0,0.3181818181818182,0.5,0.4827586206896552
0.06,0.3181818181818182,1.0,0.3181818181818182,0.5,0.4827586206896552
0.07,0.36363636363636365,1.0,0.3333333333333333,0.5333333333333333,0.5
0.08,0.4318181818181818,1.0,0.358974358974359,0.5833333333333333,0.5283018867924528
0.09,0.45454545454545453,1.0,0.3684210526315789,0.6,0.5384615384615384
0.1,0.4772727272727273,1.0,0.3783783783783784,0.6166666666666667,0.5490196078431372
0.11,0.5,1.0,0.3888888888888889,0.6333333333333333,0.56
0.12,0.5227272727272727,1.0,0.4,0.65,0.5714285714285715
0.13,0.5227272727272727,1.0,0.4,0.65,0.5714285714285715
0.14,0.5227272727272727,1.0,0.4,0.65,0.5714285714285715
0.15,0.5,0.9285714285714286,0.38235294117647056,0.6142857142857143,0.5416666666666667
0.16,0.5,0.9285714285714286,0.38235294117647056,0.6142857142857143,0.5416666666666667
0.17,0.4772727272727273,0.8571428571428571,0.36363636363636365,0.5785714285714286,0.5106382978723404
0.18,0.4772727272727273,0.7142857142857143,0.3448275862068966,0.5404761904761906,0.46511627906976755
0.19,0.4772727272727273,0.7142857142857143,0.3448275862068966,0.5404761904761906,0.46511627906976755
0.2,0.5454545454545454,0.7142857142857143,0.38461538461538464,0.5904761904761905,0.5
0.21,0.5454545454545454,0.7142857142857143,0.38461538461538464,0.5904761904761905,0.5
0.22,0.5681818181818182,0.7142857142857143,0.4,0.6071428571428572,0.5128205128205129
0.23,0.5454545454545454,0.6428571428571429,0.375,0.5714285714285714,0.4736842105263159
0.24,0.5909090909090909,0.6428571428571429,0.4090909090909091,0.6047619047619047,0.5000000000000001
0.25,0.5909090909090909,0.6428571428571429,0.4090909090909091,0.6047619047619047,0.5000000000000001
0.26,0.6136363636363636,0.6428571428571429,0.42857142857142855,0.6214285714285714,0.5142857142857143
0.27,0.6136363636363636,0.6428571428571429,0.42857142857142855,0.6214285714285714,0.5142857142857143
0.28,0.6363636363636364,0.6428571428571429,0.45,0.638095238095238,0.5294117647058824
0.29,0.6363636363636364,0.6428571428571429,0.45,0.638095238095238,0.5294117647058824
0.3,0.6590909090909091,0.6428571428571429,0.47368421052631576,0.6547619047619049,0.5454545454545454
0.31,0.6590909090909091,0.6428571428571429,0.47368421052631576,0.6547619047619049,0.5454545454545454
0.32,0.6818181818181818,0.6428571428571429,0.5,0.6714285714285714,0.5625000000000001
0.33,0.7045454545454546,0.6428571428571429,0.5294117647058824,0.6880952380952382,0.5806451612903226
0.34,0.7045454545454546,0.6428571428571429,0.5294117647058824,0.6880952380952382,0.5806451612903226
0.35,0.7045454545454546,0.6428571428571429,0.5294117647058824,0.6880952380952382,0.5806451612903226
0.36,0.7045454545454546,0.6428571428571429,0.5294117647058824,0.6880952380952382,0.5806451612903226
0.37,0.6818181818181818,0.5714285714285714,0.5,0.6523809523809524,0.5333333333333333
0.38,0.6363636363636364,0.42857142857142855,0.42857142857142855,0.580952380952381,0.42857142857142855
0.39,0.6363636363636364,0.42857142857142855,0.42857142857142855,0.580952380952381,0.42857142857142855
0.4,0.6363636363636364,0.42857142857142855,0.42857142857142855,0.580952380952381,0.42857142857142855
0.41,0.6590909090909091,0.42857142857142855,0.46153846153846156,0.5976190476190476,0.4444444444444445
0.42,0.6818181818181818,0.42857142857142855,0.5,0.6142857142857143,0.4615384615384615
0.43,0.6818181818181818,0.42857142857142855,0.5,0.6142857142857143,0.4615384615384615
0.44,0.6818181818181818,0.42857142857142855,0.5,0.6142857142857143,0.4615384615384615
0.45,0.6818181818181818,0.42857142857142855,0.5,0.6142857142857143,0.4615384615384615
0.46,0.7045454545454546,0.42857142857142855,0.5454545454545454,0.6309523809523809,0.4799999999999999
0.47,0.7045454545454546,0.42857142857142855,0.5454545454545454,0.6309523809523809,0.4799999999999999
0.48,0.7045454545454546,0.42857142857142855,0.5454545454545454,0.6309523809523809,0.4799999999999999
0.49,0.7272727272727273,0.42857142857142855,0.6,0.6476190476190476,0.5
